park_id,park_name,match_status,match_method,polygon_count,polygon_ids,polygon_labels,note
58,백련근린공원,matched,automatic_high,1,생활서비스시설_공원_0805,근린공원(백련<시공원>),자동 매칭 high
59,오금근린공원,matched,automatic_high,1,생활서비스시설_공원_1723,근린공원(오금<시공원>),자동 매칭 high
60,오동근린공원,matched,automatic_high,1,생활서비스시설_공원_0516,근린공원(오동<시공원>),자동 매칭 high
61,봉산도시자연공원,matched,automatic_high,1,생활서비스시설_공원_0746,도시자연공원(봉산<시공원>),자동 매칭 high
62,온수도시자연공원,no_match,manual_no_reliable_match,0,,,이름 일치도와 공간적 근거가 부족하여 신뢰할 수 있는 Polygon 없음
63,봉은공원,matched,automatic_high,1,생활서비스시설_공원_1622,근린공원(봉은),자동 매칭 high
64,올림픽공원,matched,automatic_high,1,생활서비스시설_공원_1716,기타공원(올림픽공원),자동 매칭 high
65,와룡근린공원,matched,automatic_high,1,생활서비스시설_공원_0078,근린공원(와룡<시공원>),자동 매칭 high
66,봉화산근린공원,matched,automatic_high,1,생활서비스시설_공원_0384,근린공원(봉화산<시공원>),자동 매칭 high
67,북악산도시자연공원,matched,automatic_high,1,생활서비스시설_공원_0107,도시자연공원((북악산)<시공원>),자동 매칭 high
68,북한산국립공원,matched,manual_likely_match,1,생활서비스시설_공원_0431,도시자연공원((북한산)<시공원>),북한산 이름이 강하게 일치하고 대규모 도시자연공원 Polygon으로 판단
69,외국인묘지공원,matched,automatic_high,1,생활서비스시설_공원_0915,묘지공원(외국인<시공원>),자동 매칭 high
70,불광근린공원,matched,automatic_high,1,생활서비스시설_공원_0767,근린공원(불광<시공원>),자동 매칭 high
71,불암산도시자연공원,matched,automatic_high,1,생활서비스시설_공원_0703,도시자연공원(불암산<시공원>),자동 매칭 high
72,용마폭포공원,matched,automatic_high,1,생활서비스시설_공원_0378,도시자연공원(용마<시공원>),자동 매칭 high
73,사육신공원,matched,automatic_high,1,생활서비스시설_공원_1356,묘지공원(사육신<시공원>),자동 매칭 high
74,용왕산근린공원,matched,automatic_high,1,생활서비스시설_공원_0972,근린공원(용왕산<시공원>),자동 매칭 high
75,사직근린공원,matched,automatic_high,1,생활서비스시설_공원_0101,근린공원(사직<시공원>),자동 매칭 high
76,우장산근린공원,matched,automatic_high,1,생활서비스시설_공원_1077,근린공원(우장<시공원>),자동 매칭 high
77,삼일근린공원,matched,manual_alias,1,생활서비스시설_공원_1341,근린공원(3.1),삼일근린공원과 근린공원(3.1)은 명칭 표기 차이로 판단
78,삼청근린공원,matched,automatic_high,1,생활서비스시설_공원_0074,근린공원(삼청<시공원>),자동 매칭 high
79,인왕산도시자연공원,matched,automatic_high,1,생활서비스시설_공원_0063,도시자연공원(인왕산<시공원>),자동 매칭 high
80,상도근린공원,matched,automatic_high,1,생활서비스시설_공원_1450,근린공원((상도)<시공원>),자동 매칭 high
81,일자산근린공원,matched,automatic_high,1,생활서비스시설_공원_1819,도시자연공원(일자산<시공원>),자동 매칭 high
82,쌍문근린공원,matched,automatic_high,1,생활서비스시설_공원_0591,근린공원(쌍문<시공원>),자동 매칭 high
83,수락산도시자연공원,matched,manual_likely_match,1,생활서비스시설_공원_0712,도시자연공원(수락산<시공원>),수락산 이름이 강하게 일치하고 대규모 도시자연공원 Polygon으로 판단
84,송파나루근린공원(석촌호수),matched,automatic_high,1,생활서비스시설_공원_1765,근린공원(송파나루<시공원>),자동 매칭 high
85,선유도근린공원,matched,automatic_high,1,생활서비스시설_공원_0023,근린공원(선유도공원),자동 매칭 high
86,손기정체육공원,matched,automatic_high,1,생활서비스시설_공원_0134,체육공원(손기정),자동 매칭 high
87,성북근린공원,matched,automatic_high,1,생활서비스시설_공원_0439,근린공원(성북<시공원>),자동 매칭 high
88,봉제산공원,matched,automatic_high,1,생활서비스시설_공원_1149,근린공원(봉제산<시공원>),자동 매칭 high
89,서울창포원,no_match,manual_no_reliable_match,0,,,서울창포원과 신뢰할 수 있게 대응되는 Polygon을 찾지 못함
90,북서울꿈의숲,matched,manual_alias,1,생활서비스시설_공원_0516,근린공원(오동<시공원>),북서울꿈의숲은 오동근린공원 영역과 대응하는 것으로 판단
91,서서울호수공원,matched,automatic_high,1,생활서비스시설_공원_1855,문화공원(서서울호수),자동 매칭 high
92,중랑캠핑숲,no_match,manual_no_reliable_match,0,,,중랑캠핑숲과 신뢰할 수 있게 대응되는 Polygon을 찾지 못함
93,솔밭근린공원,matched,automatic_high,1,생활서비스시설_공원_0504,근린공원(솔밭),자동 매칭 high
94,금천체육공원(관악산),matched,automatic_high,1,생활서비스시설_공원_1257,도시자연공원((관악산)<시공원>),자동 매칭 high
95,금천폭포근린공원,no_match,manual_no_reliable_match,0,,,금천폭포근린공원과 신뢰할 수 있게 대응되는 Polygon을 찾지 못함
96,만수천공원(관악산),matched,automatic_high,1,생활서비스시설_공원_1257,도시자연공원((관악산)<시공원>),자동 매칭 high
97,발바닥공원,matched,automatic_high,1,생활서비스시설_공원_0584,소공원(발바닥공원),자동 매칭 high
98,월천근린공원,matched,automatic_high,1,생활서비스시설_공원_0564,근린공원(월천),자동 매칭 high
99,용두근린공원,no_match,manual_no_match,0,,,어린이공원(용두희망)은 약 1.3km 떨어져 있어 동일 공원 근거가 부족함
100,상암근린공원,matched,automatic_high,1,생활서비스시설_공원_0908,근린공원(상암<시공원>),자동 매칭 high
101,와우근린공원,no_match,manual_no_match,0,,,와우근린공원과 어린이공원(와우)은 별개의 공원으로 확인
102,금호근린공원,matched,automatic_high,1,생활서비스시설_공원_0188,근린공원(금호),자동 매칭 high
103,달맞이근린공원,no_match,manual_no_reliable_match,0,,,달맞이근린공원과 신뢰할 수 있게 대응되는 Polygon을 찾지 못함
104,문정근린공원,matched,automatic_high,1,생활서비스시설_공원_0032,근린공원(문정동근린공원),자동 매칭 high
105,문화예술공원,matched,manual_parent_polygon,1,생활서비스시설_공원_0007,근린공원(시민의숲),문화예술공원은 시민의숲 관리구역 일부로 확인되어 시민의숲 상위 Polygon 사용
106,세종로공원,matched,automatic_high,1,생활서비스시설_공원_0095,광장(세종로광장),자동 매칭 high
107,샘말공원(관악산근린공원 샘말지구),matched,automatic_high,1,생활서비스시설_공원_1414,도시자연공원(관악산<시공원>),자동 매칭 high
108,초안산생태공원,matched,automatic_high,1,생활서비스시설_공원_0560,근린공원((초안산)<시공원>),자동 매칭 high
109,푸른수목원,matched,automatic_high,1,생활서비스시설_공원_0025,근린공원(푸른수목원),자동 매칭 high
110,서오능도시자연공원,no_match,automatic_unmatched,0,,,자동 매칭 단계에서 신뢰할 수 있는 Polygon 후보를 찾지 못함
111,청계산도시자연공원,matched,automatic_high,1,생활서비스시설_공원_0003,도시자연공원((청계산)<서울대공원>),자동 매칭 high
112,개화근린공원,no_match,manual_no_match,0,,,개화근린공원과 어린이공원(개화)은 규모와 공원 유형이 달라 별개 공원으로 판단
113,아차산공원,matched,manual_parent_polygon,1,생활서비스시설_공원_0244,도시자연공원((용마)<시공원>),아차산공원은 용마 도시자연공원 계열 Polygon을 상위 영역으로 사용
114,인능산도시자연공원,matched,manual_multi_polygon,3,생활서비스시설_공원_1497|생활서비스시설_공원_1545|생활서비스시설_공원_1539,도시자연공원(인능산1<시공원>)|도시자연공원(인능산2<시공원>)|도시자연공원(인능산3<시공원>),"인능산도시자연공원은 인능산1, 인능산2, 인능산3 Polygon을 함께 사용"
115,구룡산도시자연공원,no_match,manual_no_reliable_match,0,,,구룡산도시자연공원과 신뢰할 수 있게 대응되는 Polygon을 찾지 못함
116,우면산도시자연공원,matched,automatic_high,1,생활서비스시설_공원_1556,도시자연공원(우면산<시공원>),자동 매칭 high
117,향림근린공원,no_match,manual_no_reliable_match,0,,,향림근린공원과 신뢰할 수 있게 대응되는 Polygon을 찾지 못함
118,신사근린공원,matched,automatic_high,1,생활서비스시설_공원_0791,마을마당(신사2동),자동 매칭 high
119,광평근린공원,no_match,manual_no_reliable_match,0,,,광평근린공원과 신뢰할 수 있게 대응되는 Polygon을 찾지 못함
120,청담근린공원,matched,automatic_high,1,생활서비스시설_공원_1631,근린공원(청담),자동 매칭 high
121,허브천문공원,matched,manual_parent_polygon,1,생활서비스시설_공원_1819,도시자연공원(일자산<시공원>),허브천문공원은 일자산 도시자연공원 내부 시설로 판단
122,GTX연신849광장(구 물빛공원),matched,automatic_high,1,생활서비스시설_공원_0784,기타공원(연신내물빛),자동 매칭 high
123,숭인근린공원,matched,automatic_high,1,생활서비스시설_공원_0070,근린공원(숭인),자동 매칭 high
124,서일대뒷산공원,matched,manual_parent_polygon,1,생활서비스시설_공원_0378,도시자연공원(용마<시공원>),서일대뒷산공원은 용마 도시자연공원 내부 영역으로 판단
125,용마도시자연공원(사가정공원),matched,automatic_high,1,생활서비스시설_공원_0378,도시자연공원(용마<시공원>),자동 매칭 high
126,문화비축기지,no_match,manual_no_reliable_match,0,,,문화비축기지와 신뢰할 수 있게 대응되는 Polygon을 찾지 못함
127,경춘선숲길,no_match,manual_no_reliable_match,0,,,경춘선숲길과 신뢰할 수 있게 대응되는 서울시 Polygon을 찾지 못함
128,율현공원,no_match,manual_no_match,0,,,마을마당(율현동)은 약 910m 떨어져 있어 동일 공원 근거가 부족함
130,서울식물원,no_match,manual_no_reliable_match,0,,,서울식물원과 신뢰할 수 있게 대응되는 Polygon을 찾지 못함
131,경의선숲길,no_match,manual_no_reliable_match,0,,,자동 후보인 근린공원(궁동)은 이름이 일치하지 않고 경의선숲길과 동일 공원이라는 근거가 없어 서울시 Polygon을 확정하지 않음
132,서소문역사공원,matched,automatic_high,1,생활서비스시설_공원_0111,근린공원(서소문),자동 매칭 high
133,순화문화공원,matched,automatic_high,1,생활서비스시설_공원_0122,어린이공원(순화),자동 매칭 high
